127.0.0.1 - - [10/Aug/2023:01:11:19 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Aug/2023:01:11:21 +0300] "GET /crm/ HTTP/1.1" 404 104
0:0:0:0:0:0:0:1 - - [10/Aug/2023:01:11:36 +0300] "POST /crm/account/login?username=admin&password=admin HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Aug/2023:01:11:45 +0300] "POST /crm/account/login?username=user1&password=admin HTTP/1.1" 404 66
0:0:0:0:0:0:0:1 - - [10/Aug/2023:01:12:19 +0300] "POST /crm/account/login?username=user1&password=123 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:46:24 +0300] "POST /crm/account/login?username=user1&password=123 HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:47:15 +0300] "POST /crm/account/login?username=user1&password=123 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:47:57 +0300] "POST /crm/account/login?username=user1&password=123 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:49:02 +0300] "POST /crm/account/login?username=user1&password=123 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:54:01 +0300] "POST /crm/account/login?username=user1&password=123 HTTP/1.1" 404 94
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:54:20 +0300] "POST /crm/account/login?username=user1&password=123 HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:54:40 +0300] "POST /crm/account/login?username=admin&password=123 HTTP/1.1" 404 66
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:54:52 +0300] "POST /crm/account/login?username=admin&password=admin HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:56:50 +0300] "POST /crm/account/login?username=admin&password=admin HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:57:15 +0300] "POST /crm/account/login?username=user2&password=1223 HTTP/1.1" 404 66
0:0:0:0:0:0:0:1 - - [10/Aug/2023:18:57:21 +0300] "POST /crm/account/login?username=user2&password=123 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [10/Aug/2023:19:48:03 +0300] "POST /crm/account/login?username=admin&password=admin HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:13:45 +0300] "POST /crm/account/login?username=&password= HTTP/1.1" 404 71
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:14:19 +0300] "POST /crm/account/login?username=&password= HTTP/1.1" 404 71
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:14:31 +0300] "POST /crm/account/login?username=&password= HTTP/1.1" 404 71
